err sys SYSTEM LOG:
235. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:57:37  # Sonos System - Error Getting Favorites.
236. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:58:18  # Sonos System - Error Getting Favorites.
237. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:58:59  # Sonos System - Error Getting Favorites.
238. Error: splusmanagerapp.exe [App 1] # 2017-01-29 11:59:40  # Sonos System - Error Getting Favorites.
239. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:00:21  # Sonos System - Error Getting Favorites.
240. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:01:02  # Sonos System - Error Getting Favorites.
241. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:01:43  # Sonos System - Error Getting Favorites.
242. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:02:24  # Sonos System - Error Getting Favorites.
243. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:03:05  # Sonos System - Error Getting Favorites.
244. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:03:46  # Sonos System - Error Getting Favorites.
245. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:04:27  # Sonos System - Error Getting Favorites.
246. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:05:08  # Sonos System - Error Getting Favorites.
247. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:05:49  # Sonos System - Error Getting Favorites.
248. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:06:30  # Sonos System - Error Getting Favorites.
249. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:07:11  # Sonos System - Error Getting Favorites.
250. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:07:52  # Sonos System - Error Getting Favorites.
251. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:08:33  # Sonos System - Error Getting Favorites.
252. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:09:14  # Sonos System - Error Getting Favorites.
253. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:09:55  # Sonos System - Error Getting Favorites.
254. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:10:36  # Sonos System - Error Getting Favorites.
255. Error: splusmanagerapp.exe [App 1] # 2017-01-29 12:11:17  # Sonos System - Error Getting Favorites.
